,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
97,2020-01-24,Vente,244000.0,3.0,RUE,8290,16E ET 22E DRAGONS,51100,REIMS,51,454,CK,16,4,1.0,Maison,83.0,5.0,2020,1,2939.759036144578,France,49.2545197,4.0470023
98,2020-01-17,Vente,54000.0,14.0,RUE,5650,DE LOUVOIS,51100,REIMS,51,454,DV,672,1,2.0,Appartement,25.0,1.0,2020,1,2160.0,France,49.2381558,4.0317173
99,2020-01-17,Vente,300000.0,6.0,BD,6690,DE LA PAIX,51100,REIMS,51,454,CX,94,2,2.0,Appartement,90.0,3.0,2020,1,3333.3333333333335,France,49.2561864,4.0394176
100,2020-01-18,Vente,60500.0,67.0,RUE,3500,FAVART D HERBIGNY,51100,REIMS,51,454,CV,1134,1,2.0,Appartement,23.0,1.0,2020,1,2630.4347826086955,France,49.2583918,4.0497027
101,2020-01-07,Vente,85000.0,43.0,RUE,7100,DES POISSONNIERS,51100,REIMS,51,454,IM,273,1,2.0,Appartement,34.0,2.0,2020,1,2500.0,France,49.2535183,4.02387
102,2020-01-10,Vente,103000.0,52.0,RUE,3280,EMILE ZOLA,51100,REIMS,51,454,AW,527,2,2.0,Appartement,87.0,4.0,2020,1,1183.9080459770114,France,49.2669522,4.0276865
103,2020-01-16,Vente,78000.0,9.0,RUE,1056,DES BONS MALADES,51100,REIMS,51,454,IO,369,1,2.0,Appartement,24.0,2.0,2020,1,3250.0,France,49.2497982,4.0144626
104,2020-01-10,Vente,92000.0,13.0,RUE,7017,PIERRE LAPLACE,51100,REIMS,51,454,AE,285,2,2.0,Appartement,74.0,4.0,2020,1,1243.2432432432433,France,49.2793345,4.021113
105,2020-01-16,Vente,58000.0,48.0,RUE,5920,M CLEMENCE FOURIAUX,51100,REIMS,51,454,AV,294,1,2.0,Appartement,24.0,1.0,2020,1,2416.6666666666665,France,49.2648485,4.023219000000001
106,2020-01-10,Vente en l'état futur d'achèvement,134500.0,78.0,AV,1809,CHARLES FANDRE,51100,REIMS,51,454,CT,607,1,2.0,Appartement,50.0,2.0,2020,1,2690.0,France,49.2586788,4.0618142
107,2020-01-30,Vente,389240.0,28.0,RUE,7280,PRESIDENT F ROOSEVELT,51100,REIMS,51,454,AT,76,0,1.0,Maison,150.0,7.0,2020,1,2594.9333333333334,France,49.2617742,4.0250791
108,2020-01-09,Vente,440000.0,2.0,IMP,6140,MERFY,51100,REIMS,51,454,AO,419,0,2.0,Appartement,221.0,4.0,2020,1,1990.9502262443439,France,49.2682656,4.014578999999999
